"","cond","SID","value","article_number"
"764","social","s594","The article help to give more information about the flavonoids in plants and its benefits.",22
"765","self","s595","Climate change and related hazards",45
"766","social","s598","This article is about the abundance of CBD but scientists still know little about it.",88
"767","social","s599","CHILD IS GOOD FOR CHILD BODY",12
"768","self","s600","Earth is warming from climate change",91
"769","social","s602","It is about how to properly recycle materials.",69
"770","social","s606","It is about the resolution in this new year that is address climate change.",31
"771","self","s608","overall healthy choices with food in regard to children's health",2
"772","social","s610","People need shelters to live no matter about the flood zone areas",23
"773","social","s613","People I know like to keep up to date on different science news like this",22
"774","self","s615","a study about climate disaster",37
"775","self","s616","This article is environmental protection and permanently reauthorizes a federal programs to pay for conservation.",19
"776","social","s618","Polar bears are not in danger from climate change",77
"777","self","s619","I felt very good with this article.",103
"778","self","s620","Information about how to switch to a renewable energy provider.",83
"779","self","s621","Meat has a negative effect on cholesterol.",50
"780","self","s622","cause it is quite informative",40
"781","social","s623","hardwork makes the life convenience",65
"782","self","s624","There is a fire with 10,000 acres in California. There are many other fires.",17
"783","social","s626","This article is about race where  runners do races  to do something new",62
"784","social","s627","Exercise is important and will help keep our bodies 'young'",18
"785","self","s628","This article is very useful  to me.Because I have kidney stones",46
"786","self","s629","Climatic changes are a serious threat.",27
"787","self","s630","obesit,cholestrol,high blood pressure risks of parkinson's diseas",82
"788","social","s631","We just had a heat wave that gave the planet its hottest month of June ever (possibly).",91
"789","social","s634","How fitness can impact the development of dementia.",34
"790","self","s635","My grandmother has cancer and I think this is very inspirational.",24
"791","self","s636","Bananas are better than sports drinks to fuel exercise.",68
"792","self","s638","This is about the Swedish girl Greta who challenging the world leaders to take  immediate action against climate  change.",65
"793","social","s639","My friends and family care deeply about animals and protecting species from extinction.",89
"794","self","s640","This article about the Metabolic benefits after a ban on sugary drinks went into effect...",94
