"","cond","SID","value","article_number"
"783","social","s626","The article matters to people because they have to be aware of natural causes and the ways it has to be prevented.",61
"784","social","s627","It's about the side effects of a dietary supplement",10
"785","self","s628","This article is about benefits of solid food.",44
"786","self","s629","I am more involved in environmental issues.",25
"787","self","s630","It matters a lot because it is about climatic change effects global warming",85
"788","social","s631","The climate change conditioning continues, this time with more campaign ads.",95
"789","social","s634","How the pharaohs dealt with drought problems.",37
"790","self","s635","I have children and I want them to have a happy and healthy future with their environment.",27
"791","self","s636","I live in an arid region where wildfires happen every summer.",63
"792","self","s638","Recycling is good thing for entire world right now.",69
"793","social","s639","Changing the way you live your life through improving exercise and reducing stress, not to mention ones diet and stopping smoking can help you avoid a heart attack.",84
"794","self","s640","This article about the disease of eating disorder...",96
