cond,SID,text,article_number
social,s578,"This article matters to people I know because there are many thousands of families that have been affected by the wildfires in California, and many have lost homes or even loved ones.",17
social,s581,"Nowadays, diseases occurs depend upon the foods.",22
social,s582,Evidence shows that pregnant women and children eating fish may make children smarter,30
self,s583,as always known dog are good friend to human and it`s them common nature.,38
self,s584,"Solar power is a great way to curb fossil fuel emissions, so seeing more use is always good.",93
self,s587,"In case you were thinking of buying a wind turbine, FYI",1
self,s588,This is relevant to me because I am looking for an electric car.,73
self,s589,a lot of consumer products contribute to air pollution.,107
social,s592,This is old news but good to remember I guess.,84
social,s593,It is all about prevent the climate change.,71
social,s594,The article speaks about the newly constructed areas in flood prone area.,23
self,s595,It is going to enlighten me about how some nutrients are affected by cooking,42
social,s598,"This article is about lawmakers, lobbyists and the Administration try to overhaul the Endangered Species act.",89
social,s599,global warming is affect whole world avoid some dangerous.,15
self,s600,Partners need to be more educated on their partner's disorder,96
social,s602,It is about the environmental damage of plastic waste.,67
social,s606,This article about the climate change at arctic talks.,35
self,s608,Exxons's motion to ignore climate investigation was denied,3
social,s610,An article about vegan,26
social,s613,How to be more efficient when buying produce.,20
self,s615,disadvantages of soft drinks,32
self,s616,The climate change is making the problem worse.,13
social,s618,Pollution affects everyone across the globe.,79
self,s619,A.I to Transform Breast Cancer Care,104
self,s620,Potential side effect of statin medications being skin infections,80
self,s621,I am looking to add to my training regimen and this article should help.,58
self,s622,A deadly 2016 glacier collapse in Tibet surpassed scientist,45
social,s623,we should have responsible for keep our wilds from fire free.,63
self,s624,If you exercise you can stay physically younger.,18
social,s626,Article matters to people so that they can make necessary steps to protect our environment.,63
social,s627,Enforces decision to not smoke and exercise instead,16
self,s628,It is moderately important to me.I also search about coal,41
self,s629,Many people are less concerned in environmental issues.,23
self,s630,because it is about helping the children,86
social,s631,"Solar power's still interesting, but still mostly useless, definitely impractical. Would be nice if it worked, but that's still a long way away.",93
social,s634,Climate change effects every person that I know.,35
self,s635,Australia has gotten a permit to work in a coal mine.,21
self,s636,If I switch to a plant based diet it may increase my longevity.,64
self,s638,Its good to know how important Vitamin D is  for a baby.,60
social,s639,Climate change may destroy some of the Mediterranean's most important sites.,85
self,s640,"This article about the injuries related to driving, work, leisure and sports by poor hearing...",90
self,s001,"Getting my own wind turbine could save me money on energy in the future, I would like to learn about wind turbines more.",1
self,s002,i don't think so good about this one,65
social,s003,Because I know a lot of people higher in age.,76
social,s004,"Good for you on quitting smoking, but now you need to hit the gym if you want to live past 100.",16
social,s005,Climate change costs might effect our job market and bills or taxes going higher in the next 5 years.,87
social,s008,These risks can also mean companies will raise their prices.,87
self,s009,Running race designed to challenge runners,62
social,s010,Taking statins to lower cholesterol can increase your risk for staph skin infections,80
social,s012,There is no such thing as strong immune system.,100
self,s014,"To lose weight, more than just exercise is involved.",6
social,s015,"If you think certain supplements can help you, you might be wrong about that.  Being deceived by some articles about supplements can just make your exercising worse.",40
social,s017,Positives to learn from the Climate TECH conference.,81
social,s018,The ban on sugary drink may be linked to health benefits such as losing belling fat.,94
self,s019,"I don't have any hearing loss at the moment but maybe in the future in old age, I could have it so this article is relevant to me.",90
self,s020,The government to re-evaluate Endangered Species Act which may weaken the law in the future.,89
self,s021,This article is about a fast way to weight train in order to build strength.,48
social,s024,I have two friends who work in a deli and eat the meat quite often.,28
social,s025,This article matters to people I know as I may have sleep apnea and my wife wants me to get tested so that I don't impact my own health.,106
social,s028,It is about the organisms,102
self,s030,This article is about a kind of snake oil where it is a lot of claims and there is not a lot of evidence for it .,88
social,s031,Climate change in Tibet,45
self,s032,This article is important to me because it highlights the incorrect way many Americans plan to build their homes.,23
self,s036,Dangers of Climate change,99
social,s037,global warming impact the environment around us,85
social,s038,"Instead of competing to win, professional racers are looking to find other ways to enjoy their sport.",62
self,s040,It is about degradation plastics.,67
social,s041,This article is promoting reusable products to replace the disposable products that people might be using.,55
social,s042,"there was important of brain chain amino acids, are best taken during your workouts because they block the fatigue inducing amino acid, tryptophan, allowing you to workout with less fatigue.",10
self,s043,Riding a bike will help you stay healthier even in your older years.,18
social,s045,climate change and renewable enegery,75
self,s046,the eating of processed meat may cause breast cancer it will increase 9 percent risk of breast cancer,52
self,s048,A list of 5 alterantive disposable cleaning products.,47
social,s049,Europeans found the world to be hotter this year.,91
self,s051,The article will discuss a voucher program proposed by the government to allow us to buy electric cars.,73
self,s052,This matters to me personally because I am trying to lose weight.,0
social,s053,Poor hearing makes it more likely to be accident prone.,90
self,s054,"Statins are known to increase the risk for diabetes, and diabetes increases the risk for staphylococcus infections of the skin and underlying soft tissue",80
social,s055,Banning sugary drinks could result in a loss of belly fat and effect your metabolism.,94
self,s056,It can help me avoid catching so many colds this year.,100
self,s057,"People tend to let whomever they walk with set the pace. Obviously, if you were walking with someone on a walker, you would walk slower. You also pace yourself when walking with a child. This statement is very true.",36
self,s058,People are building a lot of homes in flood zones.,23
social,s062,This article is about a new fitness trend called HIIT or high-intensity interval training and how to make it more fun.,58
self,s063,A cancer researcher who has been afflicted with cancer is trying to crowdsource a cure for his disease.,24
self,s064,how you walk says a lot about where you live,36
social,s065,This article matters to people I know because they are interested in people's backstories especially with helping people in poverty.,70
social,s066,"Climate change is happening, in all parts of the world.",7
self,s067,I don't particularly use CBD products but know a ton of people who do.,88
social,s068,I know lots of people that use CBD.,88
self,s069,I hate that we are destroying the earth with out selfishness and greed.,103
self,s070,"I disagree, SUV's can move more people at once so it may lead to a cut back in how many cars out on the road.",103
social,s072,Energy companies and conservatives have been trying to rollback fuel efficiency rules for vehicles for a while now a Times investigation found.,29
social,s073,This is about how to eat to avoid kidney stones.,46
social,s074,Obesity is prevalent around our society and it has consequences,106
social,s075,feel worried about this,99
self,s076,makes me feel positive about my exercise goals,16
social,s078,It's important because it may be a solution to healthy weight management that a lot of people I know struggle with.,74
social,s079,companies being sued,105
self,s080,Plastics that were sent to be recycled are being put into landfills because of China's new policy.,49
social,s081,these are issues that people should be concerned about,75
self,s082,This matters to me because I am always looking at products to see how environmentally friendly they are. This article would help me find new items to use to lessen the burden on the planet.,47
social,s083,It tells me how I can avoid having a heart attack and stay healthy.,84
self,s084,government is taking to long of a time to help support those in  need of recovery funds,13
social,s085,It's about how a doctor is using his personal experience to approach disease differently.,24
self,s086,Droughts and wildfires affect everyone.,17
self,s089,Natural disasters are happening and the government is not spending correctly to give people relief for it.,13
social,s090,I have friends that work in the coal industry.,21
social,s092,Living a healthy style can help stabilize people's arteries.,84
self,s093,I dont give a flying fuck about this article and I am getting tired of typing for this shit pay,105
self,s095,"After exercising, I may seek out supplements to reduce muscle soreness.",40
social,s097,I think all of us need to think about how we can benefit from staying healthy as we age,76
social,s099,We all need to contribute to reducing our consumption,55
social,s100,This article is about certain foods that vegans eat that cause Gout.,26
self,s101,"Thrilled to share each night cuddled up to my dog, sleeping soundly.",38
social,s103,Talks about you can build strength in as little as 13 minutes of exercise if you work hard enough.,48
self,s104,This article is about assuming that parents do not take the trouble to reduce their children's chances of gaining weight.,92
self,s106,"This article is about the similarities of ""bad"" cholesterol levels in red and white meats.",50
social,s108,It may encourage people to finally quit smoking.,16
social,s110,Cancer is most dangerous for every human kind....,24
self,s111,I live in the south where food is plentiful and am always watching my weight and what I eat.,54
self,s112,Climate change is important to me because it hurts our wildlife and our surroundings. People need to be aware that climate change is an issue.,95
self,s113,This article matter to me because I have children and I know how school can affect their mental health so this program could be very beneficial to them,86
social,s114,Solar power is not generating enough energy to replace fossil fuels.,93
social,s115,"My friends are concerned about the environment and climate change, knowing which is better to choose at the check out line would be helpful for them to know.",57
social,s116,THe us is trying to put the pressure on helping with environment. Other people care to take care of its history.,35
social,s117,diet makes healthy to body,66
self,s118,"Older cyclists demonstrate how years of regular exercise can keep your body in great shape, enough to compare to the young.",18
self,s119,I don't know why anyone needs a book to explain this. Parents show their children to eat healthy by example.,2
social,s120,You need to be aware of what you recycling,69
self,s121,Not only is there a chance to get funds for a new vehicle but vehicles that could help the planet.,73
social,s122,you may be more likely to have an accident if you have a hearing loss,90
social,s123,This article is about a study on the effects of exercise on weight loss and behavior in mice.,6
self,s124,This is important to me because there is a way to prolong our life.,64
social,s125,Countries are unable to agree to lower environmental impact with their emissions.,41
social,s126,cardiovascular death  and cancer can be reduced by in plant the flavonoids and it my help to protect the killers,22
self,s127,"if morning exercise is an important to weight loss person, so avoid your breakfast or eat some vegetables",0
self,s130,"This matters to me personally because I try to recycle everything I can, so I'd want to learn more about why recyclable materials are being dumped in China.",49
self,s132,A skier wants to preserve snow,5
social,s133,We just don't know enough about mental health.,96
social,s134,Most of the people around me are meat eaters so they would need to know what the effect is on their cholesterol levels.,50
social,s136,This article is about how fitness and endurance benefits your endurance and longevity as much as not smoking.,16
social,s137,Climate TECH conference brought an array of different discussions from big data to lab grown meat. The conference brought many important issues bringing awareness.,81
social,s139,Climate change and weather are important to keep track of.,91
social,s140,How even low impact sports can affect your health.,98
self,s141,Stretching and dancing,14
self,s143,2016 climate changes Triggered.,45
self,s145,How low-impact exercise can affect your bones.,98
self,s146,"I am not obese, but I do know people who are and it leads me to wonder if they are experiencing sleep apnea.",106
self,s147,"This is about some findings coming from climate scientists and negotiators, and how people can reduce their waste for holidays.",11
self,s149,Zoologist suggest that climate  change is often changed.,77
social,s150,The use of CBD could prove beneficial to some people I know suffering from a lack of medication.,88
self,s151,Natural disasters are a concern of all the people. Sometimes it's trial and error to solve disasters. But we need to stay the course,15
social,s153,May be of interest to those people I know in highly suseptable wildfire areas.,63
self,s155,I live in California so wildfires are a danger to me.,63
social,s156,Because they could be doing more damage to themselves than good if they are going gluten-free and they don't need to.,66
self,s157,The Article about fit may be as good for you.,16
social,s159,CHANGE PEOPLE'S BEHAVIOUR,23
self,s160,this article is about how some supplements don't really fix your muscle soreness after exercise,40
self,s161,THIS ARTICLE IS ABOUT THE OWN WIND TURBINE,1
social,s163,"For people like me who don't live anywhere near flood prone areas this won't be a good read but for the rest of y'all who do live in flood zones, you might want to read to gain some idea of how to keep safe and sound.",25
social,s166,The article is about Climate Change and how it had impacted the election.,75
self,s167,I want our nation to prosper. The mental and physical health of our children is an essential part of that and something I care about.,86
self,s168,I think SUVs are outdated and only worsen the climate crisis.,103
social,s170,this is about health benefits of getting proties from plants,64
self,s172,I know that especially because of covid I am doing a lot more things at home and it is saving money.,33
social,s177,A researcher started a company to crowdsource an approach to cancer treatment,24
self,s178,What these people decide to do is going to affect all of us in the years to come.  We need to let them know how we feel about the things they're doing.,81
self,s184,Global Warming is making parts of our world unlivable. We need to act seriously now to prevent further damage.,97
social,s185,"Bigger, quicker avalanches caused by climate change.",45
self,s186,Seems meats caused breast cancer.We should reduce the amount of meat. .,52
self,s187,"The article states that people continue to eat more food when exercising, which leads to weight gain.",78
social,s189,Who knew these healthy items can cause health problems?,26
social,s191,random women visited Mcdonald's with her grandmother,70
self,s192,This matters to me because I am concerned about climate change and want to protect my home.,53
self,s193,Researchers can found a new study for the organisms.,102
self,s194,The article shows that research has found that it is benefitical to dogs and humans to sleep in their bedrooms.,38
self,s195,Young babies who eat solid food might sleep sounder.,44
self,s196,The article is about how staying at home more saves one's energy.,33
social,s197,not a interesting one,62
self,s198,"This is about the Parkinson's disease, this is very very dangerous that disease affect the human body high cholesterol, high blood pressure and high glucose reading increase risk of human.",82
self,s200,Article is about Benefits of antioxidants,40
social,s201,This makes me want to get out and go for a run right now. I'm only 31 but stuff like this scares me in to trying my best to stay healthy. It only takes 30 minutes a day!,82
self,s202,People should avoid red meat and white meat,50
social,s204,I know a smoker who needs a reason to quit.,16
social,s205,Anyone wanting to switch to electric or hybrid would benefit from this!,73
social,s206,Plaques is very good for health and especially for hear attack,84
self,s207,Exercise is not the only answer to the problem if you are trying to lose weight.,6
self,s208,exercise is good for our health,56
social,s210,Staying active while you age might be possible.,76
self,s211,The article details the impact of plastics on the Earth and how humanity is generating waste that is not easily disposed of. It mentions that 8 billion metric tons of plastic has been made since the 1950s,67
self,s212,Artificial intelligence,104
social,s214,looks like climate change is causing some more problems,45
social,s215,These are the hottest days in the last hundred years... they are the coolest days of the next hundred!,97
social,s216,It is about how government aid for a hurricane has not been spent.,13
self,s217,The climate is important as we only have one planet to live on.,109
social,s218,It was about fitness training,58
self,s219,It is about encouraging children to break out of ordering just from the kid's menu,2
social,s222,"Jessie Diggins is a cross-country skier on the American women’s team and a favorite to win a medal at the Winter Games in Pyeongchang, South Korea. If she succeeds, it will be only the second time the United States has won a medal in the sport and the first for an American woman.",5
self,s223,This is important to me personally because I don't want ancient and important places to be destroyed as our society progresses.,85
self,s224,Climate change is going to cost companies.,87
social,s227,catastrophic flood is dangerous for most people,25
self,s230,Children and pregnant women should eat more fish due to the health benefits and provides an abundance vitamins and minerals. I am a fisherman and I catch fish because it's great sport and provides omega 3 vitamins and fish oil for people with heart issues like myself. It's good for me!,30
self,s234,This is about a correlation between cardiovascular issues and Parkinson's disease.,82
social,s235,"Improving all types of assistance to children, including day care",86
social,s236,this article is about law being passed which aims at helping the conservation of land.,19
self,s237,GRASS CAN  MAKE WILD FIRES,63
self,s242,It talks about how parents are responsible for the weight of their children.,92
self,s243,This makes me feel better about my vegan diet,64
social,s246,This matters to several of my family members who are overweight and obese.,108
self,s248,Smoking is injurious to health. We have to leave smoking to achieve long happy life.,16
social,s249,People I know believe that climate change is happening,97
self,s250,This article is about the Arctic Wildlife Refuge.,61
social,s251,"People I know use electricity and its a bill they have to pay, if they could create their own electricity it would save them money allowing them to use it on other stuff.",1
social,s255,Utilizing a specific tool to lessen anxiety about HIIT training.,58
social,s257,it is about why the world keeps burning coal despite the profound risk it poses to the future,43
self,s258,Say no to smoke it affects the health.,16
social,s259,This article explains the climate change and global warming explosion,95
self,s260,We live near two nuclear power plants and understanding how they are interacting with environmentalist is interesting.,51
social,s261,Cooking is fun and we are all looking to be healthier,42
self,s262,People should be paying more attention to this topic.,51
social,s265,Reasons that a personal Wind turbine might be the solution plus other stories on drones and America's response to climate change.,1
self,s268,that express weight training can be benfitical if done with the right exercises in a short period of time,48
social,s270,"People should change their eating tendancy, we should go with organic foods. And we should avoid processed meats",52
self,s273,this is about saving the environment,5
social,s274,The article about weight loss strategy,0
social,s275,I know a lot of people that eat processed meats. They may not be very good for you.,52
self,s276,"It was about the childrens can play everyday,it was give a huge saving on the US.",12
self,s277,this was about how clmate changing affects the climates,97
self,s278,I have been trying to become more environmentally conscious and knowledgable about the environment. The included guide will be helpful!,51
social,s279,This article matters to people to suggests that Americans to travel less are saving energy.,33
self,s280,It gives me a little motivation to excerise.,56
self,s281,"I don’t know too much about wind turbines, so I would read this article to educate myself a little bit about the subject.",1
social,s283,people i know would have to start eating healthy and need to know what could be harmful to them,26
self,s287,There are toxic algal blooms that have overstayed their welcome and are killing Florida wildlife.,39
self,s288,Even a little bit of processed meat increases your chance of getting cancer. Eat beans instead.,28
social,s292,"We might be able to improve our digestive system by running, according to testing done on mice.",72
social,s294,Climate bipartisanship and the people i know want the government that believe in climate change to take charge,75
social,s295,It's about having a strong immune system,100
self,s297,"I have always been so terrified of having my home flooded, I have no idea what I would do.",25
social,s299,Veganism can also be damaging for the body.,26
social,s300,reducing cholesterol intake in red and white meat for health reasons.,50
self,s301,It is important to me to use sustainable products and recycle and materials.,69
social,s303,Romantic partners has an eating disorder,96
self,s305,Stories of how climate change has affected people,97
social,s307,this is awesome. great idea,2
self,s308,About people's interest on insurance against disaster.,53
self,s311,This article matters to me personally because climate change is real and dangerous. It will continue to affect so many aspects of our environment including severe weather.,45
self,s313,I like to learn about what the corporations are selling.,83
self,s314,I believe it is important to take care of fellow citizens in time of natural disaster and hearing news that more Americans will be prone to flooding due to new home construction in flood prone areas is worrisome to me.,23
social,s316,The article is about how we offset calorie burn from exercise with increased eating which ultimately causes weight gain instead of loss.,78
self,s318,A higher usage of SUVs vs. cars increases carbon emissions from vehicles.,103
self,s319,This article is about climate change proposal,73
self,s320,Weight training is very important to our life,48
self,s321,I am a professional Lawmaker,89
social,s322,"It is about the link between environmentalists and, I assume, how they view nuclear power, which could potentially help reduce everyone's' carbon footprint.",51
self,s324,I does not at all. I never go to McDonalds or been to Korea.,70
social,s326,"I am really worried about the Wildfire. The global warming is the main theme of this article they warning the people by point out the Kincade fire burned more than 10,000 acres in California",17
social,s327,cheap reusable cleaning products,47
social,s328,I know people that are overweight and are at risk of cancer,54
social,s329,This article matters to some people I know because they have young children or grandchildren and this would be helpful on gaining knowledge on healthy eating.,2
self,s330,I never thought a Vegan would get gout but this article piques my curiosity.,26
self,s331,Carbon emission is the main cause for the global warming.,73
social,s335,that there is a suggestion as regards to benefits of gut bacterium on people with metabolic disorders,74
self,s337,A study uncovers that Americans are building new homes in flood plains at a faster rate than alternative locations. These new homes are at high risk of experiencing flood damage.,23
social,s338,Obesity is attributing to rises in sleep apnea which can have significant health consequences.,106
social,s344,This is quite interesting. Bananas are actually much more natural and effective than the usual sport energy drinks.,68
self,s345,Making healthy changes to your lifestyle can decrease chances of heart attack.,84
social,s348,It's always goof to have moral support to treat eating disorders,96
social,s349,My mom is at a risky age and she eats a lot of meat. She would find the article interesting.,52
social,s352,This article is all about the effect of processed meat,52
social,s353,This article is about bacteria supplement.,72
self,s358,It influenced in my life,2
self,s360,Sugar is a unhealthy content for the body. It causes some serious problems for humans. But moreover human are likely to use sugar as their favorite one. They couldn't know the seriousness about the sugar products.,32
social,s361,"A cancer researcher is crowdsourcing the startup of a new company that seeks to help him individually treat his own multiple myeloma, a form of cancer.",24
social,s363,"It would interest people because of it's legal aspect.
It's about a legal confrontation between Exxon and state attorneys general in New York and Massachusetts.",3
social,s364,People I know are health oriented and they want to know about GMOs.,102
self,s368,The article is about guidelines on children nutrition.,2
self,s371,"Since I ride my bicycle often, it often helps me stay ""younger"" and healthier than my peers who don't get such exercise.",18
social,s372,"I have used disposable products and although they are easier to just dispose of, they can be ineffective at times and they do cost more which isn't saving people money.",47
self,s373,Skipping a meal early in the day before a workout could be key to losing weight.,0
self,s375,It's about how the two US Political Parties view and try to fix the Climate Change Problem our Earth is facing. It also contains the Voters Voice by quantifying the Votes for each Candidate/Party. The Political Party's Climate Ideology receiving the majority of the Popular Vote would be how the US Citizens really feel about Climate Change,75
social,s380,"I know people who live in Florida, the first state in my country probably to experience the worst of rising sea levels.",25
social,s386,student around the world skipped school friday in protest of climate change,109
self,s387,solar power is increasing in popularity but still isnt enough yet,93
social,s390,strong correlation between endurance and living a long life,16
self,s394,very interesting and i was very volunteer,13
social,s395,because of it's importance and usefulness of this article and it's useful for everyone's knowledge,81
social,s396,Cycling sports are your bones risk.,98
social,s399,A new viewpoint on fast food from someone who didn't grow up with it.,70
social,s400,About conference on technology.,81
self,s401,Fitness on the middle age help to keep fit and free from serious diseases like dementia,34
self,s402,So we should exercise to be healthy,34
social,s403,common household items lead to air pollution,107
social,s406,The article is about the combination of HIIT training and a heart monitor and how to get the most benefits from both.,58
self,s411,breakfast is increase our energy in morning level  we skip our breakfast so create some  problems in our body  and choice to eat or omit a meal before an early workout,0
self,s412,the air pollution very danger .the car produce black smoke pollut in the air,107
self,s414,"I am getting into saving energy habits and so the principle of what is ""murkier"" about this is something I want to read about.",33
self,s415,"another effect of humans, we are killing this planet",67
self,s418,It is about people skipping shcool for climate change.,109
self,s419,people who were at the center of record heatwaves,97
social,s420,"cherry and pomegranate juice, vitamin  C and E and black tea will reduce the exercising muscle aches every trainer and every bodybuilder will choose this to reduce their muscles pain.",40
self,s421,"It seems that a lot of the dietary products that claim to lose weight can actually be bad for you and even kill you you, even if you're under 25.",10
self,s422,Spending less time working out for great results would be fantastic.,48
social,s423,Exxon is suing because they are being investigated for destroying the earth.,3
self,s425,An environmental measure protecting wilderness has been passed by the Senate.,19
self,s432,This article is important to me because I want to be as active and healthy as I can be when I get older.  This article gives me confidence and motivation.,76
self,s434,my home also flood prone in my areas.,23
social,s435,"This is one of the consecuences of our consumption rates, it is relevant for everyone to know about it so they can adjust their life habits towards a more eco friendly lifestyle.",79
social,s436,They supported by national Climate Assessment.,77
self,s437,cleanliness not only our body entire our environment,107
self,s439,The hike in the death toll of overweight U.S. adults caused by Sleep Apnea.,106
social,s442,coal were used to produce the power of the steam engines and produce the electricity. now a day it were produce air pollution.so we have to avoid the coal . it were avoided  to the country.,43
self,s444,This article does not really matters to me,26
self,s445,warning due to climate change,17
self,s446,I am looking for ways to reduce my use of plastic items.,55
social,s448,"The article suggests that Americans staying home more is good for the environment. Americans who stay home burn less fossil fuel. It also suggests that there may be more to the story, that is not presented in the headline.",33
self,s449,Nowadays global warming is a major problem in the world. I have concerns about global warming.,85
self,s450,A cancer research who has cancer himself has started a crowdsourcing solution.,24
social,s453,This is very knowledgeable information,59
social,s454,Blocking investigations of any kind is hiding evidence.,3
self,s456,Because when i was a young boy i went McDonald's with my grandmother.,70
self,s457,This matters to me because the article would outline ways that I can contribute to making the world a better and cleaner place to live in.,31
social,s460,This article is about the effect climate change could have on the US economy.,9
social,s462,"This could be a huge step in cancer care those who have it, and cancer prevention for all of us.",104
social,s463,this would raise awareness about nuclear energy to people,51
social,s466,Dancing can help your brain as you age.,14
social,s467,Carbon taxes is important tool against fight for climate change.,75
social,s470,it affects all of us as we all all live in this world,41
self,s471,This is an article about the ineffectiveness of supplements to ease muscle soreness after working out.,40
social,s473,opening up the camp will surely help a lot,61
self,s475,the tash zone between hawaii and california is growing,79
self,s478,This article is about proposal against protection of Endangered species,89
social,s479,my loved ones are at risk and need to know what they can do to avoid strokes,64
self,s481,Global warming is going to make it harder for me to live,15
self,s482,"If I ever decide to do intense workouts, especially weightlifting, I don't want to waste money on products that won't help ease any muscle pain I might encounter post-exercising.  I only do some pushups daily for now.",40
self,s483,Climate change is quickly moving beyond our control. We seriously need to put a stop to this or we'll have nothing but annual articles just like this one until we all die.,91
social,s485,Climate target has not been strengthened.,41
self,s487,Article is about disaster,53
social,s488,because it talks about not wasting food and hat was what my mom always teach me,20
self,s490,Climate change is a problem that is concerning to me,45
social,s492,"Global warming is causing more dangerous rainstorms and even if we are able to evacuate flood zones quickly, it's still a huge problem.",15
self,s493,"Forest fires in California, is poisoning our air and kids who have bad breathing",17
social,s494,This article is big issue for society,99
social,s495,"The article suggests that more than exercise is needed for positive weightloss. In some mice, exercise caused them to move less later.",6
self,s496,climate change is a big threat to our lives,25
social,s497,This is an article about climate change and the ocean garbage patch in the Pacific.,79
social,s498,A lot of the science around CBD isn't really established yet; you can buy it almost anywhere but a lot of the claims are misleading or unproven.,88
self,s499,floods are very dangerous it is natural one we make a precaution safety before the flood arrives,25
social,s502,About a skier that contributes towards the environment.,5
self,s504,"This article matters to me because I am a female that has not been previously watching my intake of bad foods throughout most of my life. So, this information concerns me and I feel directly relates to me.",52
social,s505,This article creates awareness about the failing system of recycling initiatives in first world countries.,49
social,s506,I would want people to make sure they understand the threat of certain chemicals found in everyday things like deodorant so they can make better informed decisions as consumers.,107
self,s507,i think eating with family is important and significant,70
self,s512,I've been trying to cut back on processed foods in general,52
social,s513,This describes how aging impacts the speed that people move,76
self,s514,"Protecting our environment is important to us all, very interesting read.",49
self,s515,Having extra training makes ones standout among others.,62
social,s516,article about  impact of climate change through with disasters,99
social,s517,The Article is about children's food offers,2
self,s520,Climate change matters to me because it allows us to preserve the current state of the world longer. It allows us to cherish and appreciate our history by having these ancient places around.,85
self,s522,"Babies who eat solid food at 3 months sleep better, longer.",44
self,s526,Because I have lost someone in my family to diabetes.,32
self,s527,I'm midlife and need to know what helps in fighting this disease,34
social,s529,Fake news written by climate change deniers could cause more species lost.,77
self,s530,BECAUSE OF CLIMATE RISK WATER WILL BE MORE SCARE IN FUTUREEEEEEEEEEEEEEEEEEEEEEEE,59
social,s531,We all buy soda's with straws on most work days.,55
self,s532,Fish is so to have benefits help the brain. with omega-3 and other ingredients,30
social,s533,an article about getting protein from plants instead of animals could lower cardiovascular issues,64
self,s535,This article matters to me because I care about the environment and combatting climate change.,107
self,s537,Tides are becoming more and more of an issue for Florida wildlife.,39
self,s538,Certain political groups have proposed removing or weakening protections mandated in the Endangered Species Act.,89
social,s540,This matters to people i know because i know many people who use supplements like this.,10
social,s541,If you want to avoid kidney stones then you should drink more  water.,46
self,s543,"Saving energy effects climate change, which is something I'm all for.",33
self,s544,I know a lot about G.M.O.s so it matters personally for me.,102
social,s545,Climate change is real and could cause some disasters all at the same time.,99
social,s546,I know some people that are very overweight but don't care.,54
social,s547,This article is about how sugary drinks can lead to a shorter life span.,32
social,s548,Peoples are must knows the BOKS program.,86
social,s551,really i dont know much about the theme,88
social,s552,This matters especially to people who are single. Cooking for one it is hard not to waste food.,20
social,s553,Fires scattered across the world are endangering the world’s climate.,7
social,s554,"It is that some food items like cherry,pomegranate juice will help to alleviate post-exercise muscle aches.",40
self,s555,i used to go walk everyday,36
social,s558,People want to know how to live healthier lives.,6
social,s559,because it is very important,98
self,s561,Prospective homeowners are idiots who build home where they shouldn't.,23
social,s563,"Here's some good alternatives to using plastics in some daily ways.  Someone has put together a kit to get rid of plastic straws, tableware and containers.",55
social,s567,Nuclear power good for the environment and reducing your own carbon footprint.,51
self,s568,Its about protection of Endangered Species and laws should be made stricter and stricter.,89
social,s570,This article is about doomsayers saying the environment and economy is collapsing.,9
social,s571,"While I'm not the biggest fan of utilizing coal based energy myself, I have a few family members that work in the fossil fuel industry and they'd be quite excited by this news.",21
self,s572,A small pilot study covers information of how people with metabolic disorders could potentially benefit from supplements of a common gut bacterium. This could potentially impact people who are obese.,74
social,s574,This article would appeal to people I know because they are older population like me.,18
social,s575,Many people I know are concerned about pollution in the environment by plastics.,67
self,s576,Climate lawsuits are growing and expanding within the country.,105
self,s577,SUV sales are up globally and that is bad news for the climate,103
social,s578,"Government aid is not on par with the amount and severity of storms that have been caused by climate change. This has left many Americans more vulnerable to hurricanes, floods, etc.",13
social,s581,Cancer is the big threat in this century.,24
social,s582,Florida's wildlife is currently being killed by the longest toxic algal bloom in a decade,39
self,s583,"as a man it`s a well known one, i used to walk different speed with others.",36
self,s584,Climate change could end human life as we know it if something isn't done.,99
self,s587,It can be nice to see the giants fall.,3
self,s588,This article is relevant to me because I am worried about aging effects..,76
self,s589,I think people are generally not very attentive while driving and more people are driving larger vehicles.,103
social,s592,Is it based on science or agenda driven interpretations of scientific findings?,87
social,s593,"Age is not a matter to succeeded. Success may come at any age, if work hard.",76
social,s594,The article matters because many people who is following will get the information and can be useful to them.,26
self,s595,It concerns me in terms of climate change and effect of a selfish Billionaire's act on my health.,43
social,s598,This article matters to people i know simply because the thought of lab-grown meat is interesting,81
social,s599,dancing is one of the exercise for whole body and fit for body,14
self,s600,I want to learn more about climate change,95
social,s602,It is about the health effects of vitamin D during pregnancy.,60
social,s606,This article about compare the dog and humans.,38
self,s608,olympic athlete wants to conserve snow of the world,5
social,s610,An article about flavonoid-rich foods.,22
social,s613,The construction of homes in flood-prone areas is much faster than in other areas.,23
self,s615,relationship between dog and human,38
self,s616,This article is say the global warming an era of wilder.,15
social,s618,"A lot of my friends have a lot of misconceptions about diet, exercise, and weight loss.",78
self,s619,Because health is very important to living here. so I have involved with this article.,100
self,s620,This shows another reason why to take good care of yourself to try and avoid heart and Parkinson's trouble.,82
self,s621,I enjoy reading about health and fitness trends and science.,56
self,s622,cause the article is quite educative,47
social,s623,This article talking about the important of the bananas,68
self,s624,"There were two big climate meetings. Also, you can lower holiday food waste.",11
social,s626,The article is about the plastics and its effect on earth.,67
social,s627,I live in the Bay Area,17
self,s628,This article is about plastic recycling,49
self,s629,Healthy eating is very important for a healthy life.,28
self,s630,this article is about risk of skin infection,80
social,s631,"I'm told so often that climate change isn't even reflected in weather, but then we see stories like this, so I don't know what we're supposed to believe.",97
social,s634,Enviromental problems are important to everyone.,39
